acc,label
-0.4827,1.0
-0.478436,1.0
-0.499688,1.0
-0.144283,1.0
-0.142462,1.0
-0.061266,1.0
-0.28644,1.0
-0.434005,1.0
-0.449735,1.0
-0.384413,1.0
-0.00187835,1.0
0.544424,1.0
0.806238,1.0
0.826974,1.0
0.880963,1.0
0.998383,1.0
1.14215,1.0
0.85744,1.0
0.108868,1.0
-0.540555,1.0
-0.901271,1.0
-1.13858,1.0
-1.1226,1.0
-1.21539,1.0
-1.19046,1.0
-1.34289,1.0
-1.38899,1.0
-0.818021,1.0
0.00558012,1.0
0.646859,1.0
1.22427,1.0
1.69276,1.0
1.75465,1.0
1.75465,1.0
1.37663,1.0
-0.426127,1.0
-0.314153,1.0
-0.314153,1.0
-0.347679,1.0
-0.0711707,1.0
-0.154396,1.0
0.130454,1.0
-0.283986,1.0
-0.87557,1.0
-0.574695,1.0
-0.794434,1.0
-0.723349,1.0
-0.462749,1.0
-0.15748,1.0
-0.163656,1.0
-0.175931,1.0
-0.139177,1.0
0.102766,1.0
0.461079,1.0
0.157674,1.0
0.355162,1.0
0.350254,1.0
-0.188579,1.0
-0.242991,1.0
-0.016412,1.0
0.899339,1.0
1.05118,1.0
0.161919,1.0
-0.342583,1.0
-1.21778,1.0
-1.77929,1.0
-1.44468,1.0
-1.02913,1.0
-1.02913,1.0
-0.575109,1.0
-0.279519,1.0
-0.1949,1.0
-0.271806,1.0
-0.271806,1.0
0.622035,1.0
1.13807,1.0
1.31463,1.0
1.31463,1.0
0.748902,1.0
0.301844,1.0
0.317297,1.0
1.08332,1.0
1.13229,1.0
0.511375,1.0
-0.163343,1.0
-1.16756,1.0
-2.45458,1.0
-2.23069,1.0
-1.78101,1.0
-1.14887,1.0
-0.296553,1.0
-0.0204953,1.0
0.386636,1.0
0.714689,1.0
0.856648,1.0
1.00543,1.0
1.12208,1.0
0.926389,1.0
0.264773,1.0
-0.406718,1.0
-0.18638,1.0
0.866785,1.0
1.60041,1.0
1.11,1.0
-0.120507,1.0
-0.781115,1.0
-1.64303,1.0
-1.84194,1.0
-1.9066,1.0
-1.67259,1.0
-1.0267,1.0
-0.587048,1.0
-0.0921645,1.0
0.128588,1.0
0.34805,1.0
0.883546,1.0
0.883546,1.0
1.40009,1.0
1.43904,1.0
1.02327,1.0
0.287398,1.0
-0.211524,1.0
0.215089,1.0
0.880687,1.0
0.39486,1.0
0.0959525,1.0
-1.48784,1.0
-2.30712,1.0
-2.14918,1.0
-1.75262,1.0
-0.784742,1.0
-0.297486,1.0
0.192394,1.0
0.205216,1.0
-0.168543,1.0
0.231192,1.0
0.67132,1.0
1.01467,1.0
1.45859,1.0
1.46785,1.0
0.536865,1.0
0.00255631,1.0
0.172148,1.0
1.23403,1.0
1.34017,1.0
0.0686287,1.0
-0.550188,1.0
-0.550188,1.0
-2.98243,1.0
-2.43767,1.0
-2.43767,1.0
-1.08678,1.0
-0.402527,1.0
0.501698,1.0
0.332428,1.0
0.239503,1.0
0.943613,1.0
1.16445,1.0
0.988199,1.0
1.49746,1.0
1.49746,1.0
0.24976,1.0
-0.284918,1.0
0.107314,1.0
1.11091,1.0
0.858447,1.0
-0.30475,1.0
-1.0459,1.0
-2.23477,1.0
-2.23317,1.0
-2.26913,1.0
-1.61983,1.0
-0.768836,1.0
-0.169157,1.0
0.431946,1.0
0.933869,1.0
0.64934,1.0
0.913874,1.0
1.61459,1.0
1.74129,1.0
1.34289,1.0
1.34818,1.0
0.414118,1.0
-0.459388,1.0
-0.756311,1.0
0.0465784,1.0
0.811651,1.0
0.0314118,1.0
-0.516209,1.0
-2.08424,1.0
-3.09134,1.0
-2.36365,1.0
-1.81467,1.0
-0.841455,1.0
0.219299,1.0
0.219299,1.0
0.921341,1.0
0.470961,1.0
0.740067,1.0
1.37921,1.0
1.4075,1.0
1.26432,1.0
1.45483,1.0
0.331156,1.0
-0.500166,1.0
-0.519821,1.0
0.383229,1.0
1.11449,1.0
0.397066,1.0
-1.08521,1.0
-1.4466,1.0
-2.91829,1.0
-2.23129,1.0
-1.8149,1.0
-1.55635,1.0
-0.657088,1.0
0.126739,1.0
0.698607,1.0
0.847778,1.0
0.591547,1.0
1.07274,1.0
1.11312,1.0
1.11312,1.0
1.84519,1.0
0.840001,1.0
0.840001,1.0
-0.296331,1.0
0.413942,1.0
0.413942,1.0
0.31661,1.0
-0.666175,1.0
-0.666175,1.0
-2.90975,1.0
-2.4686,1.0
-1.98794,1.0
-1.1787,1.0
-0.175455,1.0
0.284566,1.0
0.552338,1.0
0.622724,1.0
0.539981,1.0
0.985616,1.0
1.47309,1.0
1.59251,1.0
1.1275,1.0
1.1275,1.0
0.762049,1.0
0.0497503,1.0
0.506616,1.0
0.904174,1.0
-0.160908,1.0
-0.561912,1.0
-1.5292,1.0
-2.89399,1.0
-2.58034,1.0
-2.58034,1.0
-1.58795,1.0
-0.517988,1.0
-0.0229384,1.0
0.513929,1.0
0.718595,1.0
0.236798,1.0
0.483322,1.0
1.14481,1.0
1.14481,1.0
1.7402,1.0
2.35285,1.0
1.23246,1.0
1.23246,1.0
0.170303,1.0
0.313499,1.0
0.974027,1.0
0.0931142,1.0
-0.794361,1.0
-3.07731,1.0
-3.2804,1.0
-2.05827,1.0
-1.31935,1.0
-0.176784,1.0
0.149801,1.0
0.269276,1.0
0.27178,1.0
-0.0380736,1.0
0.320015,1.0
0.320015,1.0
0.959809,1.0
1.36304,1.0
1.69908,1.0
0.510742,1.0
-0.029935,1.0
0.0644743,1.0
0.924396,1.0
0.924396,1.0
0.263185,1.0
-1.13977,1.0
-2.09149,1.0
-3.43398,1.0
-2.56537,1.0
-1.60421,1.0
-1.60421,1.0
0.433006,1.0
0.278151,1.0
0.250543,1.0
-0.0180032,1.0
-0.0180032,1.0
1.10723,1.0
1.23596,1.0
1.38883,1.0
1.85133,1.0
1.85133,1.0
0.386339,1.0
0.0384464,1.0
0.412676,1.0
0.507418,1.0
0.101963,1.0
-0.971467,1.0
-3.31777,1.0
-3.46518,1.0
-2.47742,1.0
-1.28033,1.0
0.121277,1.0
0.532628,1.0
0.304486,1.0
0.501946,1.0
0.361836,1.0
1.296,1.0
1.296,1.0
1.74614,1.0
1.74999,1.0
1.74999,1.0
1.09126,1.0
0.0408287,1.0
0.00927525,1.0
0.700412,1.0
-0.206986,1.0
-1.86786,1.0
-2.56501,1.0
-2.56501,1.0
-2.69544,1.0
-1.11056,1.0
-0.144426,1.0
0.406977,1.0
0.763043,1.0
0.410701,1.0
0.374239,1.0
1.04394,1.0
1.46191,1.0
1.63739,1.0
2.04205,1.0
2.04205,1.0
0.242401,1.0
0.0311555,1.0
0.459825,1.0
0.932697,1.0
0.120203,1.0
-1.51461,1.0
-2.54486,1.0
-3.10754,1.0
-1.77476,1.0
-0.591034,1.0
-0.118711,1.0
-0.0298816,1.0
0.118185,1.0
0.0753735,1.0
0.428699,1.0
0.843068,1.0
1.33958,1.0
1.36586,1.0
1.16627,1.0
0.472685,1.0
0.134672,1.0
0.200005,1.0
0.870246,1.0
0.776964,1.0
-0.360438,1.0
-1.43057,1.0
-1.43057,1.0
-2.21736,1.0
-1.32449,1.0
-0.695928,1.0
-0.275365,1.0
-0.31735,1.0
-0.31735,1.0
0.324051,1.0
0.324051,1.0
1.00293,1.0
1.39033,1.0
1.2027,1.0
1.04369,1.0
0.566956,1.0
0.566956,1.0
0.315679,1.0
0.420575,1.0
-0.239099,1.0
-0.751211,1.0
-1.46142,1.0
-1.98616,1.0
-2.00329,1.0
-1.04946,1.0
-0.332499,1.0
-0.176725,1.0
-0.111417,1.0
0.486161,1.0
0.667507,1.0
1.03671,1.0
1.35068,1.0
1.29847,1.0
0.921827,1.0
0.513388,1.0
0.13189,1.0
-0.0508068,1.0
-0.413654,1.0
-0.625898,1.0
-1.00379,1.0
-1.34285,1.0
-1.26261,1.0
-1.19006,1.0
-0.840529,1.0
-0.723592,1.0
-0.646031,1.0
0.346861,1.0
-0.0459518,1.0
0.159186,1.0
1.15594,1.0
1.16861,1.0
1.17332,1.0
1.42541,1.0
0.811185,1.0
0.238667,1.0
-0.0469741,1.0
-0.613643,1.0
-0.851797,1.0
-0.623146,1.0
-1.14507,1.0
-0.888682,1.0
-0.612087,1.0
-0.612087,1.0
-0.201796,1.0
0.0539082,1.0
0.254492,1.0
0.254492,1.0
0.60207,1.0
0.706477,1.0
0.706477,1.0
0.745463,1.0
0.504172,1.0
0.320746,1.0
0.242762,1.0
-0.109595,1.0
-0.865137,1.0
-0.642309,1.0
-0.826086,1.0
-0.826086,1.0
-0.966962,1.0
-0.690234,1.0
-0.32316,1.0
0.189191,1.0
0.189191,1.0
0.869497,1.0
0.873528,1.0
0.933659,1.0
0.478958,1.0
-0.0535063,1.0
-0.0535063,1.0
0.0661413,1.0
0.480647,1.0
-0.296569,1.0
-0.701317,1.0
-1.05624,1.0
-1.08623,1.0
-0.291479,1.0
-0.771628,1.0
-0.59762,1.0
-0.711964,1.0
-0.311587,1.0
-0.0667004,1.0
0.203852,1.0
0.274758,1.0
0.409006,1.0
0.447198,1.0
0.429672,1.0
0.605573,1.0
0.725089,1.0
0.750289,1.0
0.650315,1.0
0.547064,1.0
0.547064,1.0
-0.532237,1.0
-0.4779,1.0
-0.741735,1.0
-1.15631,1.0
-1.37758,1.0
-1.52639,1.0
-1.52639,1.0
0.173472,1.0
1.07634,1.0
1.24914,1.0
0.937727,1.0
0.937727,1.0
0.5215,1.0
0.438095,1.0
0.62831,1.0
0.556872,1.0
0.150597,1.0
-0.198647,1.0
-0.420562,1.0
-0.163996,1.0
-0.0534284,1.0
0.025175,1.0
-0.241467,1.0
-0.837074,1.0
-0.837074,1.0
-1.32723,1.0
-1.09952,1.0
-0.398953,1.0
0.228021,1.0
0.606866,1.0
0.744776,1.0
0.677508,1.0
0.498754,1.0
0.351346,1.0
0.385347,1.0
0.488973,1.0
0.618066,1.0
0.299689,1.0
-0.490949,1.0
-0.83831,1.0
-0.735435,1.0
-0.43161,1.0
-0.28319,1.0
-0.226951,1.0
-0.493144,1.0
-0.742006,1.0
-0.779533,1.0
-0.138635,1.0
0.73636,1.0
1.28465,1.0
1.36364,1.0
1.03291,1.0
0.448681,1.0
0.111073,1.0
-0.132702,1.0
-0.187887,1.0
-0.465236,1.0
-0.216287,1.0
-0.299107,1.0
-0.54365,1.0
-0.667769,1.0
-0.667769,1.0
-0.192003,1.0
0.151512,1.0
-0.0225728,1.0
-0.383517,1.0
-0.803684,1.0
-0.949203,1.0
-0.614694,1.0
0.348811,1.0
1.09324,1.0
1.22704,1.0
0.905334,1.0
0.329805,1.0
-0.171859,1.0
-0.197767,1.0
0.0611923,1.0
0.286955,1.0
0.286955,1.0
-0.0862261,1.0
-0.456576,1.0
-0.935295,1.0
-0.220408,1.0
0.102345,1.0
0.102021,1.0
0.0212335,1.0
-0.356177,1.0
-0.356177,1.0
-0.822477,1.0
-0.565612,1.0
0.0205278,1.0
0.82573,1.0
1.27216,1.0
1.13595,1.0
0.6282,1.0
-0.145735,1.0
-0.145735,1.0
-0.0769209,1.0
0.368855,1.0
0.651444,1.0
0.426207,1.0
-0.390719,1.0
-0.731896,1.0
-1.1193,1.0
-0.63612,1.0
-0.63612,1.0
-0.388776,1.0
-0.474548,1.0
-0.947505,1.0
-1.32523,1.0
-1.22159,1.0
-1.22159,1.0
0.577599,1.0
1.30166,1.0
1.48883,1.0
1.48883,1.0
0.967467,1.0
0.0601346,1.0
-0.0757939,1.0
0.278478,1.0
0.797886,1.0
0.909177,1.0
0.313998,1.0
-0.742014,1.0
-0.794998,1.0
-1.15093,1.0
-0.961134,1.0
-0.391481,1.0
-0.511368,1.0
-0.719587,1.0
-1.04969,1.0
-1.25788,1.0
-0.931622,1.0
-0.268204,1.0
0.609311,1.0
1.3426,1.0
1.5855,1.0
0.971259,1.0
0.971259,1.0
0.0249043,1.0
0.257516,1.0
0.53846,1.0
0.592322,1.0
0.468415,1.0
-0.230207,1.0
-0.971605,1.0
-0.971605,1.0
-0.952481,1.0
-0.402802,1.0
-0.402802,1.0
-0.366887,1.0
-0.51972,1.0
-0.515343,1.0
-0.682459,1.0
-0.141222,1.0
0.875876,1.0
1.51032,1.0
1.10931,1.0
0.60866,1.0
0.60866,1.0
-0.0771289,1.0
0.0297428,1.0
-0.0190243,1.0
-0.387108,1.0
-0.506197,1.0
-0.445979,1.0
-0.714721,1.0
-0.579131,1.0
0.0236528,1.0
0.12333,1.0
-0.137711,1.0
-0.400109,1.0
-0.495009,1.0
-0.51476,1.0
-0.0803973,1.0
0.63682,1.0
0.955281,1.0
0.955281,1.0
0.34879,1.0
-0.00162388,1.0
-0.00963258,1.0
0.259299,1.0
0.369663,1.0
0.17203,1.0
-0.147299,1.0
-0.244476,1.0
-0.244476,1.0
-0.0680109,1.0
-0.385599,1.0
-0.155634,1.0
-0.21533,1.0
-0.294742,1.0
-0.328504,1.0
-0.44628,1.0
-0.603637,1.0
-0.614313,1.0
-0.415743,1.0
-0.415743,1.0
-0.452103,1.0
-0.0711316,1.0
-0.0711316,1.0
0.30985,1.0
0.30985,1.0
0.876527,1.0
0.683868,1.0
0.435882,1.0
0.776557,1.0
0.665315,1.0
0.174358,1.0
-0.0496065,1.0
-0.0496065,1.0
-0.176081,1.0
-0.125026,1.0
-0.125026,1.0
-0.0783466,1.0
-0.606852,1.0
-1.17338,1.0
-1.64005,1.0
-1.24778,1.0
-0.527526,1.0
0.0462046,1.0
0.320706,1.0
0.320706,1.0
0.492414,1.0
0.159825,1.0
0.613231,1.0
0.957964,1.0
0.867864,1.0
0.855344,1.0
0.477817,1.0
0.167021,1.0
0.042988,1.0
0.218424,1.0
0.180108,1.0
0.252519,1.0
-0.0431866,1.0
-0.586233,1.0
-0.586233,1.0
-1.52586,1.0
-1.21294,1.0
-1.21294,1.0
-0.334732,1.0
-0.334732,1.0
-0.108896,1.0
-0.0753333,1.0
-0.0753333,1.0
0.607657,1.0
0.900809,1.0
1.09646,1.0
1.24859,1.0
0.751428,1.0
0.21793,1.0
0.0933721,1.0
0.177629,1.0
0.308465,1.0
0.0277409,1.0
-0.277633,1.0
-1.09674,1.0
-1.09674,1.0
-2.39576,1.0
-1.67287,1.0
-1.67287,1.0
0.00506658,1.0
0.771271,1.0
0.771271,1.0
1.25733,1.0
2.1951,1.0
2.1951,1.0
0.891766,1.0
0.914717,1.0
0.885389,1.0
-0.482861,1.0
-1.38932,1.0
-1.38932,1.0
-0.99073,1.0
-0.891411,1.0
-0.966806,1.0
-1.63674,1.0
-1.61505,1.0
-1.53494,1.0
-1.36344,1.0
-1.36344,1.0
0.00658007,1.0
0.557433,1.0
0.64087,1.0
0.970967,1.0
0.970967,1.0
1.69882,1.0
1.60715,1.0
1.37256,1.0
1.06479,1.0
-0.0184774,1.0
-0.526395,1.0
-0.721419,1.0
-0.721419,1.0
-0.930374,1.0
-0.910892,1.0
-1.68711,1.0
-1.95358,1.0
-1.77263,1.0
-1.31558,1.0
-0.256428,1.0
0.257907,1.0
0.817568,1.0
0.804071,1.0
1.12925,1.0
1.12925,1.0
2.18814,1.0
1.55153,1.0
1.0886,1.0
0.627443,1.0
-0.358262,1.0
-0.373625,1.0
0.174095,1.0
0.174095,1.0
-1.34343,1.0
-0.797369,1.0
-0.797369,1.0
-2.44797,1.0
-1.86182,1.0
-1.68057,1.0
-0.718097,1.0
0.166098,1.0
0.166098,1.0
0.33475,1.0
0.545517,1.0
0.545517,1.0
1.53232,1.0
2.03394,1.0
2.23619,1.0
0.974668,1.0
-0.0480146,1.0
-0.194787,1.0
0.43217,1.0
0.43217,1.0
0.0697518,1.0
-0.811428,1.0
-0.777336,1.0
-0.777336,1.0
-2.47275,1.0
-2.28676,1.0
-2.09515,1.0
-0.637491,1.0
-0.637491,1.0
0.260326,1.0
0.0635411,1.0
0.071576,1.0
0.37422,1.0
1.02969,1.0
1.45153,1.0
2.02658,1.0
2.2143,1.0
1.13707,1.0
0.199489,1.0
0.247562,1.0
0.350504,1.0
-0.20322,1.0
-0.964361,1.0
-0.562665,1.0
-1.84901,1.0
-2.55959,1.0
-2.55959,1.0
-1.73237,1.0
-0.525216,1.0
-0.0571982,1.0
0.275455,1.0
0.28631,1.0
-0.0110975,1.0
0.436781,1.0
0.880841,1.0
0.920714,1.0
1.0144,1.0
1.43358,1.0
0.773926,1.0
0.00743612,1.0
0.00743612,1.0
0.0134536,1.0
0.0134536,1.0
-0.398152,1.0
0.137869,1.0
0.137869,1.0
-1.68035,1.0
-1.34257,1.0
-1.37165,1.0
-1.37165,1.0
-0.266863,1.0
-0.165371,1.0
0.163418,1.0
0.50734,1.0
1.03429,1.0
1.5259,1.0
1.09657,1.0
1.01637,1.0
1.01637,1.0
0.219364,1.0
0.0599262,1.0
0.0599262,1.0
-0.169819,1.0
-1.03163,1.0
-0.434258,1.0
-0.87094,1.0
-1.36729,1.0
-1.36729,1.0
-1.65689,1.0
-1.10876,1.0
-0.77965,1.0
-0.577642,1.0
-0.00525734,1.0
0.176176,1.0
0.287353,1.0
0.465568,1.0
0.772724,1.0
1.10124,1.0
1.5867,1.0
1.59448,1.0
1.17416,1.0
0.531985,1.0
0.109869,1.0
-0.0955593,1.0
-0.128153,1.0
0.0888563,1.0
-0.00165691,1.0
-1.50084,1.0
-1.48582,1.0
-1.7621,1.0
-1.5935,1.0
-0.743869,1.0
-1.05649,1.0
-0.879856,1.0
-0.879856,1.0
-0.225755,1.0
0.275561,1.0
0.801794,1.0
1.16886,1.0
1.73722,1.0
1.44814,1.0
1.35188,1.0
0.695793,1.0
0.0335389,1.0
0.208797,1.0
0.344727,1.0
-0.287601,1.0
-1.00185,1.0
-0.9089,1.0
-1.11534,1.0
-1.35189,1.0
-1.27339,1.0
-1.42896,1.0
-1.09244,1.0
-0.512513,1.0
-0.512513,1.0
0.443364,1.0
0.942621,1.0
0.942621,1.0
0.772059,1.0
1.21335,1.0
1.28158,1.0
1.03147,1.0
0.253222,1.0
0.0867361,1.0
0.294178,1.0
0.490552,1.0
0.490552,1.0
-0.736891,1.0
-0.825674,1.0
-1.01772,1.0
-1.16023,1.0
-1.35119,1.0
-1.35761,1.0
-1.16156,1.0
-0.746006,1.0
-0.288944,1.0
0.0202393,1.0
0.196017,1.0
0.487477,1.0
0.629877,1.0
1.31688,1.0
1.63636,1.0
1.37268,1.0
0.921193,1.0
0.199368,1.0
0.199368,1.0
0.222258,1.0
0.222258,1.0
0.0693484,1.0
-1.07198,1.0
-1.07198,1.0
-1.82339,1.0
-1.67033,1.0
-1.17411,1.0
-1.08346,1.0
-0.57644,1.0
-0.204686,1.0
-0.157292,1.0
0.156362,1.0
0.584177,1.0
0.828329,1.0
1.13108,1.0
1.25761,1.0
1.1665,1.0
0.958882,1.0
0.49111,1.0
-0.118442,1.0
-0.179336,1.0
0.260422,1.0
0.541005,1.0
0.191026,1.0
-0.468071,1.0
-1.05457,1.0
-1.57448,1.0
-1.63985,1.0
-1.3362,1.0
-1.20836,1.0
-0.824572,1.0
-0.116118,1.0
0.0302614,1.0
0.124229,1.0
0.154256,1.0
0.142872,1.0
0.142872,1.0
0.75597,1.0
0.912767,1.0
0.71279,1.0
0.866556,1.0
0.734455,1.0
0.320731,1.0
0.365922,1.0
0.521289,1.0
0.365093,1.0
-0.0170682,1.0
-0.673519,1.0
-1.37667,1.0
-1.59845,1.0
-1.51145,1.0
-1.23241,1.0
-0.633244,1.0
-0.108899,1.0
0.10692,1.0
0.0897571,1.0
0.0639318,1.0
0.0945548,1.0
0.41182,1.0
0.930856,1.0
1.09017,1.0
0.929307,1.0
0.524754,1.0
0.524754,1.0
0.102503,1.0
0.348612,1.0
0.348612,1.0
0.425326,1.0
0.0243923,1.0
0.0243923,1.0
-1.30061,1.0
-1.30061,1.0
-1.6503,1.0
-1.02852,1.0
-0.497488,1.0
-0.44176,1.0
-0.240866,1.0
-0.067459,1.0
-0.067459,1.0
0.447049,1.0
0.603042,1.0
0.603042,1.0
0.915123,1.0
0.915123,1.0
0.909815,1.0
0.67547,1.0
0.610168,1.0
0.55177,1.0
0.404944,1.0
0.404944,1.0
0.606432,1.0
-0.446007,1.0
-1.74254,1.0
-2.65041,1.0
-2.65041,1.0
-1.82816,1.0
-0.805909,1.0
-0.164676,1.0
0.182267,1.0
0.381409,1.0
0.332381,1.0
0.249655,1.0
0.327934,1.0
0.327934,1.0
0.280702,1.0
0.298052,1.0
0.254295,1.0
0.31158,1.0
0.939057,1.0
1.68926,1.0
1.25908,1.0
1.25908,1.0
-0.0286186,1.0
0.282779,1.0
-0.293157,1.0
-0.936654,1.0
-1.61384,1.0
-2.05888,1.0
-1.35243,1.0
-0.425057,1.0
-0.00836497,1.0
-0.205173,1.0
-0.429139,1.0
-0.716632,1.0
-0.444527,1.0
-0.271118,1.0
-0.205624,1.0
0.058116,1.0
0.516944,1.0
0.963092,1.0
1.81175,1.0
1.81175,1.0
1.73601,1.0
1.09165,1.0
1.09165,1.0
0.394523,1.0
0.614026,1.0
-0.574608,1.0
-1.56988,1.0
-1.56988,1.0
-2.46616,1.0
-1.5548,1.0
-0.957818,1.0
-0.37796,1.0
-0.154424,1.0
-0.161246,1.0
-0.406077,1.0
-0.435989,1.0
-0.313133,1.0
-0.0866993,1.0
0.296789,1.0
0.611806,1.0
0.918178,1.0
1.7289,1.0
2.82561,1.0
2.58278,1.0
1.61174,1.0
-0.159616,1.0
-0.6424,1.0
1.01429,1.0
0.0207805,1.0
-1.9883,1.0
-1.9883,1.0
-3.39814,1.0
-2.28499,1.0
-1.30172,1.0
-0.398361,1.0
0.188283,1.0
0.0345157,1.0
-0.201212,1.0
-0.453173,1.0
-0.278153,1.0
-0.050704,1.0
-0.156706,1.0
-0.0107975,1.0
0.514649,1.0
1.92698,1.0
3.11237,1.0
2.85528,1.0
1.74472,1.0
-0.0325693,1.0
-0.323046,1.0
0.554077,1.0
-0.592402,1.0
-2.2824,1.0
-2.52213,1.0
-2.52213,1.0
-1.07157,1.0
-0.540312,1.0
-0.540312,1.0
-0.350275,1.0
-0.231721,1.0
-0.288802,1.0
-0.0488368,1.0
-0.0488368,1.0
0.205663,1.0
0.821863,1.0
1.75123,1.0
1.75123,1.0
1.98127,1.0
1.14328,1.0
-0.150357,1.0
-0.436073,1.0
0.639939,1.0
0.35291,1.0
-1.39662,1.0
-2.31368,1.0
-2.31368,1.0
-2.11884,1.0
-1.25901,1.0
-0.902771,1.0
-0.469158,1.0
-0.142487,1.0
-0.0866792,1.0
-0.172556,1.0
-0.172556,1.0
-0.373279,1.0
0.192197,1.0
1.26406,1.0
2.26851,1.0
2.69971,1.0
2.14977,1.0
1.12662,1.0
0.248697,1.0
0.0640799,1.0
0.140572,1.0
0.103368,1.0
-0.926594,1.0
-2.32839,1.0
-3.03359,1.0
-2.38139,1.0
-1.48881,1.0
-0.568104,1.0
-0.322363,1.0
-0.124345,1.0
-0.0721925,1.0
-0.369634,1.0
-0.563906,1.0
0.022846,1.0
1.2225,1.0
2.51327,1.0
3.307,1.0
3.28274,1.0
1.66258,1.0
0.456412,1.0
0.274467,1.0
-0.00940994,1.0
-0.428749,1.0
-1.37082,1.0
-1.99297,1.0
-1.83256,1.0
-2.34296,1.0
-1.44397,1.0
-0.961294,1.0
-0.968596,1.0
-0.69109,1.0
-0.621542,1.0
-0.475626,1.0
-0.552814,1.0
-0.552814,1.0
-0.378606,1.0
-0.241906,1.0
-0.241906,1.0
2.11714,1.0
2.73961,1.0
2.43764,1.0
1.38151,1.0
1.38151,1.0
-0.185175,1.0
-0.305459,1.0
-0.305459,1.0
-0.770255,1.0
-0.993504,1.0
-0.664968,1.0
-0.664968,1.0
-1.09759,1.0
-0.796226,1.0
-0.713059,1.0
-0.555713,1.0
-0.555713,1.0
-0.690397,1.0
-1.00669,1.0
-0.758786,1.0
-0.0962732,1.0
0.631451,1.0
1.24152,1.0
1.54981,1.0
1.50431,1.0
1.00461,1.0
0.698613,1.0
0.419873,1.0
0.244137,1.0
0.248385,1.0
-0.205208,1.0
-0.247691,1.0
-0.143603,1.0
-0.850442,1.0
-0.766758,1.0
-0.977395,1.0
-0.989755,1.0
-0.673939,1.0
-0.5334,1.0
-0.624112,1.0
-0.607057,1.0
-0.534187,1.0
-0.367839,1.0
-0.231183,1.0
0.242245,1.0
0.736833,1.0
1.30776,1.0
1.21622,1.0
0.857834,1.0
0.685601,1.0
0.322526,1.0
0.298723,1.0
0.298723,1.0
0.409077,1.0
0.242158,1.0
0.0849414,1.0
-0.604987,1.0
-1.10174,1.0
-0.917812,1.0
-0.591916,1.0
-0.37035,1.0
-0.363424,1.0
-0.873245,1.0
-0.991308,1.0
-0.795025,1.0
-0.789491,1.0
-0.427097,1.0
-0.427097,1.0
1.35233,1.0
1.49,1.0
1.49,1.0
-0.104744,1.0
-0.245388,1.0
0.152737,1.0
0.616368,1.0
1.14561,1.0
1.23346,1.0
0.443436,1.0
-0.191706,1.0
-0.993416,1.0
-1.27721,1.0
-1.09094,1.0
-1.09094,1.0
-0.577417,1.0
-0.626043,1.0
-1.02866,1.0
-1.63999,1.0
-1.77207,1.0
-1.21852,1.0
-0.234915,1.0
0.750007,1.0
1.46491,1.0
1.57225,1.0
1.57225,1.0
0.955163,1.0
0.46475,1.0
0.52944,1.0
0.911559,1.0
1.06587,1.0
0.562898,1.0
-0.15837,1.0
-0.666903,1.0
-0.557397,1.0
-0.441891,1.0
-0.625055,1.0
-0.791544,1.0
-0.603589,1.0
-1.14093,1.0
-1.90743,1.0
-1.90743,1.0
-1.61053,1.0
-0.353292,1.0
-0.353292,1.0
1.56342,1.0
1.60664,1.0
1.60664,1.0
1.09105,1.0
0.0534658,1.0
0.0296045,1.0
0.899664,1.0
1.0997,1.0
0.150359,1.0
-0.321358,1.0
-0.24803,1.0
-0.388396,1.0
-0.326874,1.0
-0.833198,1.0
-0.714167,1.0
-0.567972,1.0
-0.964737,1.0
-1.43691,1.0
-1.41421,1.0
-0.883954,1.0
-0.0611013,1.0
0.741128,1.0
1.25288,1.0
1.41864,1.0
0.929056,1.0
0.0984493,1.0
-0.0790481,1.0
0.660519,1.0
1.0501,1.0
0.878656,1.0
0.207405,1.0
-0.0752171,1.0
-0.0487599,1.0
-0.275844,1.0
-0.475828,1.0
-0.665545,1.0
-0.825579,1.0
-1.01545,1.0
-1.15087,1.0
-1.20448,1.0
-1.04166,1.0
-1.12744,1.0
-1.12744,1.0
0.152832,1.0
0.152832,1.0
1.20158,1.0
1.06248,1.0
0.55956,1.0
0.602383,1.0
1.03873,1.0
1.10683,1.0
1.10683,1.0
0.305579,1.0
-0.171659,1.0
-0.171659,1.0
-0.539103,1.0
-0.951339,1.0
-0.895369,1.0
-0.777833,1.0
-0.914846,1.0
-1.26473,1.0
-1.43859,1.0
-1.43859,1.0
-1.10823,1.0
-0.557513,1.0
-0.557513,1.0
0.948532,1.0
0.948532,1.0
1.22396,1.0
1.47131,1.0
1.32533,1.0
0.761189,1.0
0.784787,1.0
0.526989,1.0
0.323789,1.0
-0.0828423,1.0
-0.238014,1.0
0.0337353,1.0
-0.369577,1.0
-1.1877,1.0
-1.22905,1.0
-1.48149,1.0
-1.48149,1.0
-1.40022,1.0
-1.13905,1.0
-1.13905,1.0
-0.576701,1.0
0.100032,1.0
0.551217,1.0
0.911839,1.0
1.12296,1.0
1.43122,1.0
1.60901,1.0
1.8054,1.0
1.08641,1.0
0.535494,1.0
0.545533,1.0
0.102656,1.0
0.46967,1.0
0.598106,1.0
-0.169734,1.0
-1.609,1.0
-1.89051,1.0
-1.96649,1.0
-2.16828,1.0
-1.99075,1.0
-1.60071,1.0
-1.60071,1.0
-0.262857,1.0
-0.0294314,1.0
